time,request,connect 
7,0.714285714285714,0.714285714285714 
17,0.571428571428571,0.571428571428571 
27,0.142857142857143,0.142857142857143 
37,0.285714285714286,0.285714285714286 
47,1.14285714285714,1.28571428571429 
57,2,1.85714285714286 
67,1.14285714285714,1.14285714285714 
77,1,1 
87,0.714285714285714,0.714285714285714 
97,1.14285714285714,1.14285714285714 
107,0.857142857142857,0.857142857142857 
117,0.714285714285714,0.714285714285714 
127,0.857142857142857,0.857142857142857 
137,1.57142857142857,1.57142857142857 
147,1.42857142857143,1.42857142857143 
157,10.7142857142857,10.8571428571429 
165,4,3.85714285714286 
